Date,dayofyear,dayofweek,quarter,month,year
2023/05/24,144,3,2,5,2023
2023/05/25,145,4,2,5,2023
2023/05/26,146,5,2,5,2023
2023/05/27,147,6,2,5,2023
2023/05/28,148,0,2,5,2023
2023/05/29,149,1,2,5,2023
2023/05/30,150,2,2,5,2023
2023/05/31,151,3,2,5,2023
2023/06/01,152,4,2,6,2023
2023/06/02,153,5,2,6,2023
2023/06/03,154,6,2,6,2023
2023/06/04,155,0,2,6,2023
2023/06/05,156,1,2,6,2023
2023/06/06,157,2,2,6,2023
2023/06/07,158,3,2,6,2023
2023/06/08,159,4,2,6,2023
2023/06/09,160,5,2,6,2023
2023/06/10,161,6,2,6,2023
2023/06/11,162,0,2,6,2023
2023/06/12,163,1,2,6,2023
2023/06/13,164,2,2,6,2023
2023/06/14,165,3,2,6,2023
2023/06/15,166,4,2,6,2023
2023/06/16,167,5,2,6,2023
2023/06/17,168,6,2,6,2023
2023/06/18,169,0,2,6,2023
2023/06/19,170,1,2,6,2023
2023/06/20,171,2,2,6,2023
2023/06/21,172,3,2,6,2023
2023/06/22,173,4,2,6,2023
2023/06/23,174,5,2,6,2023
2023/06/24,175,6,2,6,2023
2023/06/25,176,0,2,6,2023
2023/06/26,177,1,2,6,2023
2023/06/27,178,2,2,6,2023
2023/06/28,179,3,2,6,2023
2023/06/29,180,4,2,6,2023
2023/06/30,181,5,2,6,2023
2023/07/01,182,6,3,7,2023
2023/07/02,183,0,3,7,2023
2023/07/03,184,1,3,7,2023
2023/07/04,185,2,3,7,2023
2023/07/05,186,3,3,7,2023
2023/07/06,187,4,3,7,2023
2023/07/07,188,5,3,7,2023
2023/07/08,189,6,3,7,2023
2023/07/09,190,0,3,7,2023
2023/07/10,191,1,3,7,2023
2023/07/11,192,2,3,7,2023
2023/07/12,193,3,3,7,2023
2023/07/13,194,4,3,7,2023
2023/07/14,195,5,3,7,2023
2023/07/15,196,6,3,7,2023
2023/07/16,197,0,3,7,2023
2023/07/17,198,1,3,7,2023
2023/07/18,199,2,3,7,2023
2023/07/19,200,3,3,7,2023
2023/07/20,201,4,3,7,2023
2023/07/21,202,5,3,7,2023
2023/07/22,203,6,3,7,2023
2023/07/23,204,0,3,7,2023
2023/07/24,205,1,3,7,2023
2023/07/25,206,2,3,7,2023
2023/07/26,207,3,3,7,2023
2023/07/27,208,4,3,7,2023
2023/07/28,209,5,3,7,2023
2023/07/29,210,6,3,7,2023
2023/07/30,211,0,3,7,2023
2023/07/31,212,1,3,7,2023
2023/08/01,213,2,3,8,2023
2023/08/02,214,3,3,8,2023
2023/08/03,215,4,3,8,2023
2023/08/04,216,5,3,8,2023
2023/08/05,217,6,3,8,2023
2023/08/06,218,0,3,8,2023
2023/08/07,219,1,3,8,2023
2023/08/08,220,2,3,8,2023
2023/08/09,221,3,3,8,2023
2023/08/10,222,4,3,8,2023
2023/08/11,223,5,3,8,2023
2023/08/12,224,6,3,8,2023
2023/08/13,225,0,3,8,2023
2023/08/14,226,1,3,8,2023
2023/08/15,227,2,3,8,2023
2023/08/16,228,3,3,8,2023
2023/08/17,229,4,3,8,2023
2023/08/18,230,5,3,8,2023
2023/08/19,231,6,3,8,2023
2023/08/20,232,0,3,8,2023
2023/08/21,233,1,3,8,2023
2023/08/22,234,2,3,8,2023
2023/08/23,235,3,3,8,2023
2023/08/24,236,4,3,8,2023
2023/08/25,237,5,3,8,2023
2023/08/26,238,6,3,8,2023
2023/08/27,239,0,3,8,2023
2023/08/28,240,1,3,8,2023
2023/08/29,241,2,3,8,2023
2023/08/30,242,3,3,8,2023
2023/08/31,243,4,3,8,2023
2023/09/01,244,5,3,9,2023
2023/09/02,245,6,3,9,2023
2023/09/03,246,0,3,9,2023
2023/09/04,247,1,3,9,2023
2023/09/05,248,2,3,9,2023
2023/09/06,249,3,3,9,2023
2023/09/07,250,4,3,9,2023
2023/09/08,251,5,3,9,2023
2023/09/09,252,6,3,9,2023
2023/09/10,253,0,3,9,2023
2023/09/11,254,1,3,9,2023
2023/09/12,255,2,3,9,2023
2023/09/13,256,3,3,9,2023
2023/09/14,257,4,3,9,2023
2023/09/15,258,5,3,9,2023
2023/09/16,259,6,3,9,2023
2023/09/17,260,0,3,9,2023
2023/09/18,261,1,3,9,2023
2023/09/19,262,2,3,9,2023
2023/09/20,263,3,3,9,2023
2023/09/21,264,4,3,9,2023
2023/09/22,265,5,3,9,2023
2023/09/23,266,6,3,9,2023
2023/09/24,267,0,3,9,2023
2023/09/25,268,1,3,9,2023
2023/09/26,269,2,3,9,2023
2023/09/27,270,3,3,9,2023
2023/09/28,271,4,3,9,2023
2023/09/29,272,5,3,9,2023
2023/09/30,273,6,3,9,2023
2023/10/01,274,0,4,10,2023
2023/10/02,275,1,4,10,2023
2023/10/03,276,2,4,10,2023
2023/10/04,277,3,4,10,2023
2023/10/05,278,4,4,10,2023
2023/10/06,279,5,4,10,2023
2023/10/07,280,6,4,10,2023
2023/10/08,281,0,4,10,2023
2023/10/09,282,1,4,10,2023
2023/10/10,283,2,4,10,2023
2023/10/11,284,3,4,10,2023
2023/10/12,285,4,4,10,2023
2023/10/13,286,5,4,10,2023
2023/10/14,287,6,4,10,2023
2023/10/15,288,0,4,10,2023
2023/10/16,289,1,4,10,2023
2023/10/17,290,2,4,10,2023
2023/10/18,291,3,4,10,2023
2023/10/19,292,4,4,10,2023
2023/10/20,293,5,4,10,2023
2023/10/21,294,6,4,10,2023
2023/10/22,295,0,4,10,2023
2023/10/23,296,1,4,10,2023
2023/10/24,297,2,4,10,2023
2023/10/25,298,3,4,10,2023
2023/10/26,299,4,4,10,2023
2023/10/27,300,5,4,10,2023
2023/10/28,301,6,4,10,2023
2023/10/29,302,0,4,10,2023
2023/10/30,303,1,4,10,2023
2023/10/31,304,2,4,10,2023
2023/11/01,305,3,4,11,2023
2023/11/02,306,4,4,11,2023
2023/11/03,307,5,4,11,2023
2023/11/04,308,6,4,11,2023
2023/11/05,309,0,4,11,2023
2023/11/06,310,1,4,11,2023
2023/11/07,311,2,4,11,2023
2023/11/08,312,3,4,11,2023
2023/11/09,313,4,4,11,2023
2023/11/10,314,5,4,11,2023
2023/11/11,315,6,4,11,2023
2023/11/12,316,0,4,11,2023
2023/11/13,317,1,4,11,2023
2023/11/14,318,2,4,11,2023
2023/11/15,319,3,4,11,2023
2023/11/16,320,4,4,11,2023
2023/11/17,321,5,4,11,2023
2023/11/18,322,6,4,11,2023
2023/11/19,323,0,4,11,2023
2023/11/20,324,1,4,11,2023
2023/11/21,325,2,4,11,2023
2023/11/22,326,3,4,11,2023
2023/11/23,327,4,4,11,2023
2023/11/24,328,5,4,11,2023
2023/11/25,329,6,4,11,2023
2023/11/26,330,0,4,11,2023
2023/11/27,331,1,4,11,2023
2023/11/28,332,2,4,11,2023
2023/11/29,333,3,4,11,2023
2023/11/30,334,4,4,11,2023
2023/12/01,335,5,4,12,2023
2023/12/02,336,6,4,12,2023
2023/12/03,337,0,4,12,2023
2023/12/04,338,1,4,12,2023
2023/12/05,339,2,4,12,2023
2023/12/06,340,3,4,12,2023
2023/12/07,341,4,4,12,2023
2023/12/08,342,5,4,12,2023
2023/12/09,343,6,4,12,2023
2023/12/10,344,0,4,12,2023
2023/12/11,345,1,4,12,2023
2023/12/12,346,2,4,12,2023
2023/12/13,347,3,4,12,2023
2023/12/14,348,4,4,12,2023
2023/12/15,349,5,4,12,2023
2023/12/16,350,6,4,12,2023
2023/12/17,351,0,4,12,2023
2023/12/18,352,1,4,12,2023
2023/12/19,353,2,4,12,2023
2023/12/20,354,3,4,12,2023
2023/12/21,355,4,4,12,2023
2023/12/22,356,5,4,12,2023
2023/12/23,357,6,4,12,2023
2023/12/24,358,0,4,12,2023
2023/12/25,359,1,4,12,2023
2023/12/26,360,2,4,12,2023
2023/12/27,361,3,4,12,2023
2023/12/28,362,4,4,12,2023
2023/12/29,363,5,4,12,2023
2023/12/30,364,6,4,12,2023
2023/12/31,365,0,4,12,2023
